sec,nm,yrs,opm,netcash,hoard,cyc,per,covid
3694,株式会社オプティム,12,16.79,True,False,False,19.07,
5132,株式会社ｐｌｕｓｚｅｒｏ,8,33.41,True,True,False,41.71,True
3922,株式会社ＰＲ　ＴＩＭＥＳ,16,37.95,True,True,False,11.9,False
4431,株式会社スマレジ,13,24.1,True,True,False,25.1,False
7378,株式会社アシロ,10,21.35,True,True,False,13.04,False
338A,株式会社ＺｅｎｍｕＴｅｃｈ,7,16.92,True,True,False,22.93,
476A,辻・本郷ＩＴコンサルティング株式会社,6,15.09,True,True,False,21.11,
3921,株式会社ネオジャパン,16,30.35,True,True,False,12.36,False
4372,ユミルリンク株式会社,10,21.97,True,True,False,13.08,False
334A,株式会社ビジュアル・プロセッシング・ジャパン,7,18.95,True,True,False,7.42,
9766,コナミグループ株式会社,19,27.53,True,True,False,24.83,True
4391,ロジザード株式会社,13,18.74,True,True,False,15.32,False
3649,株式会社ファインデックス,18,29.3,True,True,False,16.83,True
7595,株式会社アルゴグラフィックス,19,15.02,True,True,True,4.91,True
5344,株式会社ＭＡＲＵＷＡ,19,33.54,True,False,True,39.1,True
6544,ジャパンエレベーターサービスホールディングス株式,12,19.11,True,False,False,40.71,False
6040,日本スキー場開発株式会社,16,21.47,True,False,False,12.55,True
6855,日本電子材料株式会社,19,24.69,True,True,True,14.74,False
6231,木村工機株式会社,12,25.61,False,False,True,13.68,True
6149,株式会社小田原エンジニアリング,18,16.73,True,False,True,4.65,True
1736,株式会社　オーテック,19,15.08,True,True,True,11.12,True
